Property_Name;Location;Owner_Name;Information_Responsible;Predominant_Soil_Type;Lactating_Cows;Dry_Cows;Heifers;Calves;Bulls;Lactating_Cows_Weight;Dry_Cows_Weight;Heifers_Weight;Calves_Weight;Bulls_Weight;Females;Males;Cows_Discarded_Per_Year;Discarded_Cows_Destination;Productivity;Total_Milk_Production;Milk_Protein_Percentage;Milk_Fat_Percentage;Grass_Fresh;Grass_Hay_On_Farm;Grass_Hay_Off_Farm;Grass_Silage_On_Or_Off_Farm;Maize_Silage;Lucerne_Alfalfa_Silage;Other_Fodder;Straw_Peanut_Hull_Others;Crop_Residues;Hay_Oat_Clover;Sorghum_Silage;Wheat;Barley;Maize_Grain;Oats;Rice;Rye;Sorghum;Other_Cereals;DDG;Soybean_Meal_Hull;Sugarbeet_Molasses;Whey_Powder;Rapeseed_Cake_Meal;Sunflower_Cake_Meal;Cottonseed_Cake_Meal;Beans_Peas;Cassava_Tapioca;Other_Feed;Milk_Powder_Dry_Matter;Citrus_Pulp;Mineral_Mix;Lucerne_Alfalfa_Hay;Brewers_Grain_Brewery_Residue;Total;DMI_Check;Diesel;Gasoline;Other_Fuel;Electricity_Grid;Photovoltaic_Energy;Pasture_Area;Non_Organic_Fertilizer;Organic_Fertilizer;co2_enteric_fermentation;co2_manure_management;co2_fertilizer_emissions;co2_energy_emissions;co2_total_emissions
BR – 23;Minas Gerais;Anonymous;Anonymous;Latossolo Vermelho;41.0;14.0;15.0;50.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;0.0;venda;11.9087684597394;178214.72;3.27;3.81;208323.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12118.0;0.0;0.0;220441.75;329503.75;10000.0;0.0;0.0;12000.0;0.0;150.0;750.0;0.0;156250.0;10589.400000000001;2346.75;29596.0;198782.15
BR – 24;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;30.0;1.0;5.0;23.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;8.0;venda;20.593697716895;225500.99;3.36;4.0;126045.45;8938.85;0.0;0.0;108240.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85848.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;329073.05;330387.05;2000.0;0.0;0.0;0.0;15667.0;12.0;3714.0;0.0;91500.0;5949.1;11621.106;5360.0;114430.206
BR – 25;Santa Catarina;Anonymous;Anonymous;Latossolo Vermelho-Amarelo;20.0;5.0;2.0;10.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;5.0;venda;16.1997835616438;118258.42;3.35;3.82;15421.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25258.0;0.0;0.0;0.0;0.0;0.0;0.0;27740.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68419.25;68419.25;7200.0;0.0;0.0;0.0;0.0;12.0;3600.0;0.0;62750.0;4351.95;11264.4;19296.0;97662.34999999999
BR – 26;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;13.0;8.0;6.0;5.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;10.0;venda;11.1678482613277;52991.44;3.53;4.28;79190.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15147.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94337.9;94337.9;360.0;0.0;0.0;4800.0;0.0;30.0;900.0;0.0;49500.0;3688.15;2816.1;2083.2000000000003;58087.45
BR – 27;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;140.0;45.0;138.0;56.0;0.0;550.0;580.0;350.0;200.0;0.0;0.0;0.0;0.0;venda;28.6104168297456;1461992.3;3.37;3.79;97958.7;0.0;0.0;0.0;595114.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;659044.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;226665.0;0.0;0.0;0.0;0.0;0.0;1578781.95;1652694.45;24000.0;0.0;0.0;0.0;0.0;104.0;1040.0;0.0;537750.0;42668.5;3254.16;64320.00000000001;647992.66
BR – 28;Santa Catarina;Anonymous;Anonymous;Latossolo Vermelho-Amarelo;20.0;4.0;4.0;12.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;10.0;venda;20.4096616438356;148990.53;3.51;4.24;107602.0;0.0;0.0;0.0;38325.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;145927.0;145927.0;2000.0;0.0;0.0;0.0;0.0;8.0;2400.0;0.0;64000.0;4374.8;7509.599999999999;5360.0;81244.40000000001
BR – 29;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;6.0;6.0;0.0;7.0;0.0;650.0;680.0;380.0;200.0;0.0;0.0;0.0;0.0;venda;33.3369863013699;73008.0;3.06;3.36;44497.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7223.35;0.0;0.0;0.0;0.0;0.0;0.0;5347.25;0.0;0.0;0.0;0.0;5526.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62593.85;62593.85;1740.0;0.0;0.0;4673.0;0.0;13.0;1560.0;0.0;26000.0;2500.6000000000004;4881.24;5752.009000000001;39133.848999999995
BR – 30;Pernambuco;Anonymous;Anonymous;Planossolo;6.0;6.0;0.0;7.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;0.0;venda;18.2860273972603;40046.4;3.06;3.37;51490.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51490.55;51490.55;0.0;0.0;0.0;1.0;0.0;5.0;1500.0;0.0;26000.0;1930.3500000000004;4693.5;0.233;32624.083
BR – 31;Santa Catarina;Anonymous;Anonymous;Latossolo Vermelho-Amarelo;14.0;4.0;0.0;12.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;11.0;venda;10.1552759295499;51893.46;3.36;4.27;22374.5;0.0;0.0;0.0;35770.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35697.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2299.5;0.0;0.0;96141.0;96141.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46000.0;3124.4;0.0;1286.4;50410.8
BR – 32;Santa Catarina;Anonymous;Anonymous;Latossolo Vermelho-Amarelo;11.0;6.0;5.0;10.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;0.0;venda;12.8784632627646;51707.03;3.48;4.38;78248.7;0.0;0.0;0.0;1277.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;292.0;0.0;0.0;79818.2;79818.2;720.0;0.0;0.0;0.0;0.0;15.0;210.0;0.0;43750.0;3124.6000000000004;657.09;1929.6000000000001;49461.28999999999
